"Proteins","Genes","Pro_Cerebellum","Pro_Frontal_Cortex","Pro_Heart","Pro_Kidney","Pro_Liver","Pro_Lung","Pro_Spleen","Pro_Amygdala","Pro_Entorhinal_Cortex","Pro_Gut","Pro_Olfactory_Bulb","Pro_Striatum","Pro_Thalamus","Pro_Substantia_Nigra"
"Q9D7V9","Naaa",3.80154473263506,4.17519500201579,1.70483222416468,3.5362013951833,2.80788635724491,4.70239270439956,6.10212529670565,4.40391645163824,4.70093403802788,5.37130270003385,4.24083542974902,4.33832301449003,4.26695177626189,3.9455626682245
"Q9D7W5","Med8",0.566691362635057,0.402389782015789,-2.05544110083532,0.732086885183299,-0.655958289755088,-0.673993531600442,1.43689775670565,0.0236880636382377,0.61405527802788,2.24711717003385,0.754882289749022,-0.068963120509967,-0.395802483738107,-0.608369916775496
"Q9D7X8","Ggct",6.14967227263506,5.76690413201579,5.04644661416468,6.9296584351833,4.35692365724491,3.77491133439956,5.43614456670565,6.38408989163824,6.31736819802788,4.86170826003385,6.02937285974902,6.24505086449003,6.37850055626189,6.4851888282245
"Q9D819","Ppa1",8.08943212263506,8.13725811201579,6.34667469416468,7.2491297851833,9.80084163724491,6.11116050439956,7.00478215670565,8.14880781163824,8.13101706802788,9.58002424003385,8.94866601974902,8.19442307449003,8.14222303626189,8.2711108482245
"Q9D820","Prorsd1",3.35847367263506,0.0987607780157893,2.91809151416468,4.2658710251833,4.75122927724491,3.23754823439956,4.95948779670565,3.05067142163824,1.07564313802788,4.43263105003385,3.00184335974902,3.48338290449003,3.39442877626189,2.9499045882245
"Q9D824","Fip1l1",3.05480805263506,3.23784159201579,0.191789284164677,3.4745051851833,3.13305934724491,2.86366052439956,4.33809795670565,3.07141139163824,3.07753793802788,3.58365746003385,3.61587447974902,2.83373667449003,2.60345522626189,2.3608211582245
"Q9D826","Pipox",1.94187200263506,-2.10515699698421,NA,9.7679286651833,8.24742493724491,-3.79612948460044,NA,1.12070797163824,-3.74372178797212,4.34059445003385,1.63039493974902,-0.412369236509968,1.23861658626189,1.4276628182245
"Q9D832","Dnajb4",5.20924428263506,5.71718566201579,5.34423486416468,4.7766963451833,4.59384415724491,5.72087809439956,4.87757447670565,5.36331599163824,5.45509427802788,5.88451740003385,5.15249150974902,5.47744590449003,5.35007822626189,5.3220796782245
"Q9D853","Eef1akmt2",2.95397664263506,3.58812032201579,-1.26640758983532,2.5930508551833,0.584644377244911,1.95081164439956,3.05691312670565,3.32671466163824,3.10484056802788,4.00480373003385,3.87566006974902,3.13082578449003,3.33957768626189,2.9320254282245
"Q9D855","Uqcrb",10.7345570026351,10.7386092120158,11.5076625841647,10.4494919351833,9.84122550724491,7.94557882439956,7.85026100670565,10.6721981616382,10.5100074480279,9.59599157003385,10.580040369749,10.56963207449,10.4739462362619,10.7148985782245
"Q9D880","Timm50",5.91572052263506,6.02929790201579,5.64095718416468,7.3386333951833,5.65626272724491,4.39160356439956,5.21803458670565,6.01913642163824,5.93217008802788,5.89533261003385,6.11979884974902,5.77598773449003,5.98901512626189,5.9036746182245
"Q9D883","U2af1",6.32769946263506,6.00046478201579,3.76781358416468,5.9279187551833,5.75450278724491,6.11501790439956,6.70091006670565,6.21302690163824,6.35757817802788,7.07739682003385,6.90444641974902,6.13870660449003,6.19318019626189,5.6117889782245
"Q9D892","Itpa",7.28097391263506,7.59688212201579,6.23939075416468,7.1960163651833,6.81793379724491,6.43846003439956,6.90420877670565,7.91390043163824,7.93722896802788,7.24725429003385,7.83892463974902,8.07879684449003,7.92947329626189,7.8056086082245
"Q9D898","Arpc5l",7.95027399263506,8.88260384201579,5.17502937416468,6.7591853751833,6.23268297724491,5.91356013439956,8.00605773670565,8.51827370163824,8.84723968802788,6.79645011003385,8.49377340974902,8.69126474449003,8.37443470626189,8.22751182822451
"Q9D8B3","Chmp4b",6.94877174263506,6.79222962201579,4.76970197416468,5.8587258451833,4.86165484724491,5.90825485439956,6.54617313670565,6.92837808163824,6.73160831802788,7.22505966003385,6.71594033974902,6.54178174449003,6.86174020626189,6.9108541382245
"Q9D8C4","Ifi35",1.16873084263506,0.748506402015789,2.81070468416468,3.1188963851833,5.15257777724491,4.83557488439956,5.64130871670565,1.04322064163824,1.28730238802788,5.88147969003385,2.14867221974902,-0.440436211509967,0.147168815261894,0.583263498224504
"Q9D8C6","Med11",2.44633597263506,1.17414064201579,NA,1.3896063551833,-0.818054382755089,-0.482629444600442,0.409146156705654,0.924378771638239,0.678391298027881,3.75956754003385,0.924317119749022,1.27895265449003,1.64372969626189,1.9139136482245
"Q9D8C9","Pnp2",NA,0.0123513270157893,1.43556308416468,0.188152645183299,0.346326597244912,4.24052390439956,2.06696867670565,0.312635811638238,NA,6.02109033003385,-1.17567008625098,1.20805228449003,1.04221625626189,0.680902278224504
"Q9D8E6","Rpl4",7.93475670263506,8.26612118201579,6.80737133416468,8.5539633951833,9.73771247724491,7.34697652439956,7.70947637670565,8.44732031163824,8.53525266802788,10.2236197500338,8.47932994974902,8.19666766449003,8.40879128626189,8.1203271982245
"Q9D8I3","Glod5",NA,NA,NA,7.0928098951833,NA,NA,NA,NA,NA,7.82240511003385,NA,NA,NA,NA
